time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
3012,1,0,0,0,1,1,108,173
3020,1,1,0,0,1,1,108,173
3024,1,1,0,0,1,1,135,173
3030,1,1,0,0,1,0,135,195
3036,0,1,0,0,1,0,200,195
3048,1,1,0,0,1,0,51,195
3050,1,1,0,0,1,1,51,73
3060,0,1,0,0,1,1,119,73
3070,0,1,0,0,1,1,119,218
3072,1,1,0,0,1,1,6,218
3084,1,1,0,0,1,1,70,218
3090,1,1,0,0,1,1,70,98
3096,0,1,0,0,1,1,173,98
3108,0,1,0,0,1,1,226,98
3110,0,1,0,0,1,1,226,198
3120,1,1,0,0,1,1,119,198
3130,1,1,0,0,1,1,119,104
3132,1,1,0,0,1,1,63,104
3140,1,0,0,0,1,1,63,104
3144,0,0,0,0,1,1,107,104
3150,0,0,0,0,1,0,107,104
3156,0,0,0,0,1,0,61,104
3160,0,1,0,0,1,0,61,104
3168,0,1,0,0,1,0,74,104
3170,0,1,0,0,1,0,74,113
3180,1,0,0,0,1,0,109,113
3192,1,0,0,0,1,0,15,113
3204,1,0,0,0,1,0,12,113
3216,1,0,0,0,1,0,143,113
3220,1,1,0,0,1,0,143,113
3228,0,1,0,0,1,0,11,113
3230,0,1,0,0,1,0,11,221
3240,1,0,0,0,1,0,120,221
3252,1,0,0,0,1,0,128,221
3260,1,1,0,0,1,0,128,221
3264,1,1,0,0,1,0,10,221
3270,1,1,0,0,1,0,10,61
3276,1,1,0,0,1,0,109,61
3280,1,0,0,0,1,0,109,61
3288,1,0,0,0,1,0,232,61
3300,0,1,0,0,1,0,213,61
3310,0,1,0,0,1,0,213,220
3312,0,1,0,0,1,0,169,220
3324,1,1,0,0,1,0,199,220
3330,1,1,0,0,1,0,199,239
3336,0,1,0,0,1,0,5,239
3348,0,1,0,0,1,0,97,239
3350,0,1,0,0,1,0,97,66
3360,1,1,0,0,1,0,45,66
3370,1,1,0,0,1,0,45,39
3372,1,1,0,0,1,0,161,39
3380,1,0,0,0,1,0,161,39
3384,0,0,0,0,1,0,250,39
3396,0,0,0,0,1,0,72,39
3400,0,1,0,0,1,0,72,39
3408,1,1,0,0,1,0,123,39
3410,1,1,0,0,1,0,123,49
3420,0,1,0,0,1,0,129,49
3430,0,1,0,0,1,0,129,95
3432,0,1,0,0,1,0,108,95
3440,0,0,0,0,1,0,108,95
3444,1,0,0,0,1,0,249,95
3456,1,0,0,0,1,0,138,95
3468,1,0,0,0,1,0,131,95
3480,1,1,0,0,1,0,51,95
3490,1,1,0,0,1,0,51,243
3492,0,1,0,0,1,0,206,243
3500,0,0,0,0,1,0,206,243
3504,1,0,0,0,1,0,35,243
3516,1,0,0,0,1,0,80,243
3528,1,0,0,0,1,0,104,243
3540,1,1,0,0,1,0,243,243
3550,1,1,0,0,1,0,243,45
3552,0,1,0,0,1,0,72,45
3560,0,0,0,0,1,0,72,45
3564,1,0,0,0,1,0,123,45
3576,0,0,0,0,1,0,86,45
3580,0,1,0,0,1,0,86,45
3588,0,1,0,0,1,0,222,45
3590,0,1,0,0,1,0,222,150
3600,0,0,0,0,1,0,64,150
3612,0,0,0,0,1,0,38,150
3620,0,1,0,0,1,0,38,150
3624,0,1,0,0,1,0,19,150
3630,0,1,0,0,1,0,19,127
3636,0,1,0,0,1,0,27,127
3648,0,1,0,0,1,0,211,127
3650,0,1,0,0,1,0,211,122
3660,1,0,0,0,1,0,46,122
3672,1,0,0,0,1,0,151,122
3680,1,1,0,0,1,0,151,122
3684,0,1,0,0,1,0,233,122
3690,0,1,0,0,1,0,233,152
3696,1,1,0,0,1,0,30,152
3708,1,1,0,0,1,0,58,152
3710,1,1,0,0,1,0,58,238
3720,0,0,0,0,1,0,136,238
3732,0,0,0,0,1,0,18,238
3740,0,1,0,0,1,0,18,238
3744,1,1,0,0,1,0,84,238
3750,1,1,0,0,1,0,84,187
3756,0,1,0,0,1,0,226,187
3760,0,0,0,0,1,0,226,187
3768,1,0,0,0,1,0,217,187
3780,0,0,0,0,1,0,232,187
3792,1,0,0,0,1,0,203,187
3800,1,1,0,0,1,0,203,187
3804,1,1,0,0,1,0,103,187
3810,1,1,0,0,1,0,103,100
3816,1,1,0,0,1,0,70,100
3820,1,0,0,0,1,0,70,100
3828,0,0,0,0,1,0,94,100
3840,0,0,0,0,1,0,161,100
3852,1,0,0,0,1,0,182,100
3860,1,1,0,0,1,0,182,100
3864,0,1,0,0,1,0,91,100
3870,0,1,0,0,1,0,91,210
3876,1,1,0,0,1,0,29,210
3888,0,1,0,0,1,0,14,210
3890,0,1,0,0,1,0,14,245
3900,1,1,0,0,1,0,79,245
3910,1,1,0,0,1,0,79,65
3912,1,1,0,0,1,0,8,65
3920,1,0,0,0,1,0,8,65
3924,1,0,0,0,1,0,157,65
3936,0,0,0,0,1,0,76,65
3948,1,0,0,0,1,0,214,65
3960,0,0,0,0,1,0,217,65
3972,0,0,0,0,1,0,186,65
3980,0,1,0,0,1,0,186,65
3984,1,1,0,0,1,0,234,65
3990,1,1,0,0,1,0,234,157
3996,0,1,0,0,1,0,6,157
4000,0,0,0,0,1,0,6,157
4008,1,0,0,0,1,0,75,157
4020,1,1,0,0,1,0,252,157
4030,1,1,0,0,1,0,252,82
4032,0,1,0,0,1,0,190,82
4040,0,0,0,0,1,0,190,82
4044,1,0,0,0,1,0,62,82
4056,1,0,0,0,1,0,142,82
4060,1,1,0,0,1,0,142,82
4068,0,1,0,0,1,0,154,82
4070,0,1,0,0,1,0,154,139
4080,1,0,0,0,1,0,129,139
4092,0,0,0,0,1,0,198,139
4100,0,1,0,0,1,0,198,139
4104,0,1,0,0,1,0,68,139
4110,0,1,0,0,1,0,68,223
4116,1,1,0,0,1,0,61,223
4120,1,0,0,0,1,0,61,223
4128,0,0,0,0,1,0,26,223
4140,0,0,0,0,1,0,107,223
4152,1,0,0,0,1,0,88,223
4160,1,1,0,0,1,0,88,223
4164,0,1,0,0,1,0,140,223
4170,0,1,0,0,1,0,140,213
4176,1,1,0,0,1,0,70,213
4188,1,1,0,0,1,0,194,213
4190,1,1,0,0,1,0,194,198
4200,1,1,0,0,1,0,130,198
4210,1,1,0,0,1,0,130,185
4212,0,1,0,0,1,0,22,185
4220,0,0,0,0,1,0,22,185
4224,1,0,0,0,1,0,235,185
4236,0,0,0,0,1,0,254,185
4240,0,1,0,0,1,0,254,185
4248,0,1,0,0,1,0,55,185
4250,0,1,0,0,1,0,55,108
4260,1,0,0,0,1,0,100,108
4272,0,0,0,0,1,0,82,108
4280,0,1,0,0,1,0,82,108
4284,0,1,0,0,1,0,62,108
