time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
1280,0,0,64,6,0,1,0,1,0,0
1281.25,1,0,64,6,0,1,0,1,0,0
1287.5,0,0,64,6,0,1,0,1,0,0
1290,0,1,64,7,0,1,0,1,0,0
1293.75,1,1,64,7,0,1,0,1,0,0
1300,0,0,64,7,0,1,0,1,0,0
1306.25,1,0,64,7,0,1,0,1,0,0
1310,1,1,64,8,0,1,0,1,0,0
1312.5,0,1,64,8,0,1,0,1,0,0
1318.75,1,1,64,8,0,1,0,1,0,0
1320,1,0,64,8,0,1,0,1,0,0
1325,0,0,64,8,0,1,0,1,0,0
1330,0,1,64,9,0,1,0,1,0,0
1331.25,1,1,64,9,0,1,0,1,0,0
1337.5,0,1,64,9,0,1,0,1,0,0
1340,0,0,64,9,0,1,0,1,0,0
1343.75,1,0,64,9,0,1,0,1,0,0
1350,0,1,64,10,0,1,0,1,0,0
1356.25,1,1,64,10,0,1,0,1,0,0
1360,1,0,64,10,0,1,0,1,0,0
1362.5,0,0,64,10,0,1,0,1,0,0
1368.75,1,0,64,10,0,1,0,1,0,0
1370,1,1,64,11,0,1,0,1,0,0
1375,0,1,64,11,0,1,0,1,0,0
1380,0,0,64,11,0,1,0,1,0,0
1381.25,1,0,64,11,0,1,0,1,0,0
1387.5,0,0,64,11,0,1,0,1,0,0
1390,0,1,64,12,0,1,0,1,0,0
1393.75,1,1,64,12,0,1,0,1,0,0
1400,0,0,64,12,0,1,0,1,0,0
1406.25,1,0,64,12,0,1,0,1,0,0
1410,1,1,64,13,0,1,0,1,0,0
1412.5,0,1,64,13,0,1,0,1,0,0
1418.75,1,1,64,13,0,1,0,1,0,0
1420,1,0,64,13,0,1,0,1,0,0
1425,0,0,64,13,0,1,0,1,0,0
1430,0,1,64,14,0,1,0,1,0,0
1431.25,1,1,64,14,0,1,0,1,0,0
1437.5,0,1,64,14,0,1,0,1,0,0
1440,0,0,64,14,0,1,0,1,0,0
1443.75,1,0,64,14,0,1,0,1,0,0
1450,0,1,64,15,0,1,0,1,0,0
1456.25,1,1,64,15,0,1,0,1,0,0
1460,1,0,64,15,0,1,0,1,0,0
1462.5,0,0,64,15,0,1,0,1,0,0
1468.75,1,0,64,15,0,1,0,1,0,0
