time_ns,wclk,rclk,w_en,r_en,full,empty,half_full,half_empty,data_in,data_out
1162.5,0,0,0,1,0,0,1,0,131,66
1168.75,1,0,0,1,0,0,1,0,131,66
1170,1,1,0,1,0,0,1,0,131,67
1171,1,1,0,0,0,0,1,0,131,67
1175,0,1,0,0,0,0,1,0,131,67
1180,0,0,0,1,0,0,1,0,131,67
1181.25,1,0,0,1,0,0,1,0,131,67
1187.5,0,0,0,1,0,0,1,0,131,67
1190,0,1,0,1,0,0,1,0,131,68
1191,0,1,0,0,0,0,1,0,131,68
1193.75,1,1,0,0,0,0,1,0,131,68
1200,0,0,0,1,0,0,1,0,131,68
1206.25,1,0,0,1,0,0,1,0,131,68
1210,1,1,0,1,0,0,1,0,131,69
1211,1,1,0,0,0,0,1,0,131,69
1212.5,0,1,0,0,0,0,1,0,131,69
1218.75,1,1,0,0,0,0,1,0,131,69
1220,1,0,0,1,0,0,1,0,131,69
1225,0,0,0,1,0,0,1,0,131,69
1230,0,1,0,1,0,0,1,0,131,70
1231,0,1,0,0,0,0,1,0,131,70
1231.25,1,1,0,0,0,0,1,0,131,70
1237.5,0,1,0,0,0,0,1,0,131,70
1240,0,0,0,1,0,0,1,0,131,70
1243.75,1,0,0,1,0,0,1,0,131,70
1250,0,1,0,1,0,0,1,0,131,71
1251,0,1,0,0,0,0,1,0,131,71
1256.25,1,1,0,0,0,0,1,0,131,71
1260,1,0,0,1,0,0,1,0,131,71
1262.5,0,0,0,1,0,0,1,0,131,71
1268.75,1,0,0,1,0,0,1,0,131,71
1270,1,1,0,1,0,0,1,0,131,72
1271,1,1,0,0,0,0,1,0,131,72
1275,0,1,0,0,0,0,1,0,131,72
1280,0,0,0,1,0,0,1,0,131,72
1281.25,1,0,0,1,0,0,1,0,131,72
1287.5,0,0,0,1,0,0,1,0,131,72
1290,0,1,0,1,0,0,1,0,131,73
1291,0,1,0,0,0,0,1,0,131,73
1293.75,1,1,0,0,0,0,1,0,131,73
1300,0,0,0,1,0,0,1,0,131,73
1306.25,1,0,0,1,0,0,1,0,131,73
1310,1,1,0,1,0,0,1,0,131,74
1311,1,1,0,0,0,0,1,0,131,74
1312.5,0,1,0,0,0,0,1,0,131,74
1318.75,1,1,0,0,0,0,1,0,131,74
1320,1,0,0,1,0,0,1,0,131,74
1325,0,0,0,1,0,0,1,0,131,74
1330,0,1,0,1,0,0,1,0,131,75
1331,0,1,0,0,0,0,1,0,131,75
1331.25,1,1,0,0,0,0,1,0,131,75
1337.5,0,1,0,0,0,0,1,0,131,75
1340,0,0,0,1,0,0,1,0,131,75
1343.75,1,0,0,1,0,0,1,0,131,75
1350,0,1,0,1,0,0,1,0,131,76
1351,0,1,0,0,0,0,1,0,131,76
1356.25,1,1,0,0,0,0,1,0,131,76
1360,1,0,0,1,0,0,1,0,131,76
1362.5,0,0,0,1,0,0,1,0,131,76
1368.75,1,0,0,1,0,0,1,0,131,76
1370,1,1,0,1,0,0,1,0,131,77
1371,1,1,0,0,0,0,1,0,131,77
1375,0,1,0,0,0,0,1,0,131,77
1380,0,0,0,1,0,0,1,0,131,77
1381.25,1,0,0,1,0,0,1,0,131,77
1387.5,0,0,0,1,0,0,1,0,131,77
1390,0,1,0,1,0,0,1,0,131,78
1391,0,1,0,0,0,0,1,0,131,78
1393.75,1,1,0,0,0,0,1,0,131,78
1400,0,0,0,1,0,0,1,0,131,78
1406.25,1,0,0,1,0,0,1,0,131,78
1410,1,1,0,1,0,0,1,0,131,79
